backbone,condition,file,turn,val_t,aro_t,val_s,aro_s,text_emotion,speech_emotion
qwen,multimodal,dissonance_80_full_multimodal.json,7,0.20467400550842285,0.1439504623413086,0.2031949758529663,0.12412106990814209,Excited,Excited
qwen,multimodal,dissonance_80_full_multimodal.json,8,0.14688241481781006,0.08175098896026611,-0.15540939569473267,0.008302688598632812,Excited,Sad
qwen,multimodal,dissonance_80_full_multimodal.json,9,0.2365049123764038,0.2292567491531372,0.058405399322509766,0.020345091819763184,Excited,Neutral
qwen,multimodal,dissonance_80_full_multimodal.json,10,0.1902557611465454,0.13866913318634033,0.17225778102874756,0.2564018964767456,Excited,Excited
qwen,multimodal,dissonance_81_full_multimodal.json,1,-0.019284486770629883,0.14117908477783203,-0.1795339584350586,-0.09941023588180542,Neutral,Depressed
qwen,multimodal,dissonance_81_full_multimodal.json,2,-0.16309261322021484,0.053244948387145996,-0.2992919087409973,0.06699728965759277,Sad,Sad
qwen,multimodal,dissonance_81_full_multimodal.json,3,-0.17411303520202637,0.10718262195587158,-0.23871898651123047,0.08518338203430176,Angry,Sad
qwen,multimodal,dissonance_81_full_multimodal.json,4,-0.10213816165924072,0.2248833179473877,-0.21170055866241455,-0.08790332078933716,Angry,Depressed
qwen,multimodal,dissonance_81_full_multimodal.json,5,-0.1647709608078003,0.1547938585281372,-0.11642593145370483,0.1193082332611084,Angry,Angry
qwen,multimodal,dissonance_81_full_multimodal.json,6,0.09003090858459473,0.05938303470611572,0.20008885860443115,0.07068061828613281,Neutral,Happy
qwen,multimodal,dissonance_81_full_multimodal.json,7,0.14687728881835938,0.11105608940124512,-0.0853726863861084,0.1353083848953247,Excited,Angry
qwen,multimodal,dissonance_81_full_multimodal.json,8,0.18555021286010742,0.16489136219024658,0.17529773712158203,0.03460228443145752,Excited,Happy
qwen,multimodal,dissonance_81_full_multimodal.json,9,0.2618345022201538,0.14216411113739014,0.4094911813735962,0.15130257606506348,Excited,Happy
qwen,multimodal,dissonance_81_full_multimodal.json,10,0.2181612253189087,0.22440075874328613,0.07212603092193604,-0.0052016377449035645,Excited,Neutral
qwen,multimodal,dissonance_82_full_multimodal.json,1,-0.21676480770111084,0.22599434852600098,-0.18064481019973755,-0.0709030032157898,Angry,Sad
qwen,multimodal,dissonance_82_full_multimodal.json,2,-0.2795182466506958,0.07187604904174805,-0.2266412377357483,-0.2623913288116455,Sad,Depressed
